# x80,y99,z0,u,v,p,T
-1.763707217682217859e-02,4.024491665833906722e-05,0.000000000000000000e+00,1.612918770133821909e+03,0.000000000000000000e+00,6.666999999999999815e+00,3.000000000000000000e+02
-1.343385788699495362e-02,4.024491665833906722e-05,0.000000000000000000e+00,1.612917762475379504e+03,0.000000000000000000e+00,6.667069263558556003e+00,3.000032116061282181e+02
-1.016032650862484267e-02,4.024491665833906722e-05,0.000000000000000000e+00,1.612911217604098965e+03,0.000000000000000000e+00,6.667519818810206722e+00,3.000240952370749028e+02
-7.610847241981452682e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.612873261097229260e+03,0.000000000000000000e+00,6.669913519987479944e+00,3.001331587787208264e+02
-5.625271489143922679e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.612680668258854894e+03,0.000000000000000000e+00,6.682547860548350371e+00,3.007052966880211784e+02
-4.078872927743976140e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.611758855243943799e+03,0.000000000000000000e+00,6.732944969120411294e+00,3.029390534104363724e+02
-2.874512677432492121e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.608277192658447802e+03,0.000000000000000000e+00,6.946465248083958599e+00,3.124370953204544321e+02
-1.936537404604233474e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.593641710350668973e+03,0.000000000000000000e+00,7.566751702613204067e+00,3.389033470722959578e+02
-1.206027067510574095e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.556077719308472069e+03,0.000000000000000000e+00,9.777681589924272387e+00,4.347801727443194295e+02
-6.370937831697178052e-04,4.024491665833906722e-05,0.000000000000000000e+00,1.407921803902418333e+03,0.000000000000000000e+00,1.400072908570010277e+01,5.848424598347213532e+02
-1.939993249603281882e-04,4.024491665833906722e-05,0.000000000000000000e+00,1.201031164889200909e+03,0.000000000000000000e+00,2.949411853939820816e+01,1.115353009659714417e+03
1.658262556641041123e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.011885401233976864e+02,3.700000000000000000e+02
5.090866048887993794e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.701452786327268996e+01,3.700000000000000000e+02
8.763751785592233806e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.350441297091135340e+01,3.700000000000000000e+02
1.269373952386577444e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.231181504653395109e+01,3.700000000000000000e+02
1.689882640381846265e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.614839716148030391e+01,3.700000000000000000e+02
2.139826936536783943e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.243857822198506113e+01,3.700000000000000000e+02
2.621267333422567375e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.016661551374367889e+01,3.700000000000000000e+02
3.136408558090355431e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.857420841745356199e+01,3.700000000000000000e+02
3.687609668484889084e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.732169885291413181e+01,3.700000000000000000e+02
4.277394856607039976e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.626478542826220419e+01,3.700000000000000000e+02
4.908465007897741365e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.533706066717862981e+01,3.700000000000000000e+02
5.583710069778790794e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.450820673057634025e+01,3.700000000000000000e+02
6.306222285991514541e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.376042091543230228e+01,3.700000000000000000e+02
7.079310357339128890e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.307442244162410105e+01,3.700000000000000000e+02
7.906514593681076425e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.244420743145545671e+01,3.700000000000000000e+02
8.791623126566960184e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.185529450447132049e+01,3.700000000000000000e+02
9.738689256754856985e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.130662296238631725e+01,3.700000000000000000e+02
1.075205001605590571e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.078950925922404380e+01,3.700000000000000000e+02
1.183634602850802860e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.030182453018805688e+01,3.700000000000000000e+02
1.299654276183179885e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.983918006153847813e+01,3.700000000000000000e+02
1.423795326648823537e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.939871517883869600e+01,3.700000000000000000e+02
1.556626250647062323e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.897955071010177619e+01,3.700000000000000000e+02
1.698755339325177388e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.857771383144622490e+01,3.700000000000000000e+02
1.850833464210760448e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.819384025029212637e+01,3.700000000000000000e+02
2.013557057838334663e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.782392504824581536e+01,3.700000000000000000e+02
2.187671303019839142e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.746941849178942263e+01,3.700000000000000000e+02
2.373973545364049115e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.712690642943400476e+01,3.700000000000000000e+02
2.573316944672353335e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.679763868185849063e+01,3.700000000000000000e+02
