# x80,y.99,z0,u,v,p,T,dudx
-1.763707217682217859e-02,4.024491665833906722e-05,0.000000000000000000e+00,1.612918770133821909e+03,0.000000000000000000e+00,6.666999999999999815e+00,3.000000000000000000e+02,-1.875846740675443414e+01
-1.343385788699495362e-02,4.024491665833906722e-05,0.000000000000000000e+00,1.612741470515599531e+03,0.000000000000000000e+00,6.679399151888770092e+00,3.005474971217475968e+02,-1.192172557794976910e+02
-1.016032650862484267e-02,4.024491665833906722e-05,0.000000000000000000e+00,1.612099031475140009e+03,0.000000000000000000e+00,6.723259067790935184e+00,3.024904097100635454e+02,-5.030000019946802468e+02
-7.610847241981452682e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.610034597254548089e+03,0.000000000000000000e+00,6.852070950511954806e+00,3.081493780850092321e+02,-1.943206627738863972e+03
-5.625271489143922679e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.603925644142510464e+03,0.000000000000000000e+00,7.234766795449730559e+00,3.248614956158106679e+02,-6.694399259512679237e+03
-4.078872927743976140e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.587978977018704882e+03,0.000000000000000000e+00,8.072720593162198810e+00,3.606749901683461985e+02,-1.996444287233455907e+04
-2.874512677432492121e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.552309736870687857e+03,0.000000000000000000e+00,1.011874361028772817e+01,4.468994927793582974e+02,-5.601596321680308029e+04
-1.936537404604233474e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.475006342155392986e+03,0.000000000000000000e+00,1.321930143897589183e+01,5.660219127044650804e+02,-1.228258258698394347e+05
-1.206027067510574095e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.355760407306528123e+03,0.000000000000000000e+00,2.004825949070567859e+01,8.203636492359225940e+02,-2.977323475333734532e+05
-6.370937831697178052e-04,4.024491665833906722e-05,0.000000000000000000e+00,1.109851388403321380e+03,0.000000000000000000e+00,2.614378681425044348e+01,9.370262750716552773e+02,-4.866947319300689269e+05
-1.939993249603281882e-04,4.024491665833906722e-05,0.000000000000000000e+00,8.700658387821944189e+02,0.000000000000000000e+00,4.871122928599599788e+01,1.394388139635064135e+03,-1.191936872280007228e+06
1.658262556641041123e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.950210403391649550e+01,3.700000000000000000e+02,0.000000000000000000e+00
5.090866048887993794e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.589478771257230960e+01,3.700000000000000000e+02,0.000000000000000000e+00
8.763751785592233806e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.060005099545430340e+01,3.700000000000000000e+02,0.000000000000000000e+00
1.269373952386577444e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.896383555748732164e+01,3.700000000000000000e+02,0.000000000000000000e+00
1.689882640381846265e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.261303772627451991e+01,3.700000000000000000e+02,0.000000000000000000e+00
2.139826936536783943e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.875229960769178206e+01,3.700000000000000000e+02,0.000000000000000000e+00
2.621267333422567375e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.651032013090102879e+01,3.700000000000000000e+02,0.000000000000000000e+00
3.136408558090355431e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.488410011029941415e+01,3.700000000000000000e+02,0.000000000000000000e+00
3.687609668484889084e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.361834895445777960e+01,3.700000000000000000e+02,0.000000000000000000e+00
4.277394856607039976e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.250758020164126805e+01,3.700000000000000000e+02,0.000000000000000000e+00
4.908465007897741365e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.152569035727351832e+01,3.700000000000000000e+02,0.000000000000000000e+00
5.583710069778790794e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.062976478138435610e+01,3.700000000000000000e+02,0.000000000000000000e+00
6.306222285991514541e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.981100049638401472e+01,3.700000000000000000e+02,0.000000000000000000e+00
7.079310357339128890e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.905169129189160060e+01,3.700000000000000000e+02,0.000000000000000000e+00
7.906514593681076425e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.834230710144594667e+01,3.700000000000000000e+02,0.000000000000000000e+00
8.791623126566960184e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.767507192604957211e+01,3.700000000000000000e+02,0.000000000000000000e+00
9.738689256754856985e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.704213342068077708e+01,3.700000000000000000e+02,0.000000000000000000e+00
1.075205001605590571e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.643994193202053822e+01,3.700000000000000000e+02,0.000000000000000000e+00
1.183634602850802860e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.586186778868507830e+01,3.700000000000000000e+02,0.000000000000000000e+00
1.299654276183179885e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.530658602781235089e+01,3.700000000000000000e+02,0.000000000000000000e+00
1.423795326648823537e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.476883631765705829e+01,3.700000000000000000e+02,0.000000000000000000e+00
