# x80,y.99,z0,u,v,p,T,dudx
-1.763707217682217859e-02,4.024491665833906722e-05,0.000000000000000000e+00,1.612918770133821909e+03,0.000000000000000000e+00,6.666999999999999815e+00,3.000000000000000000e+02,-1.123138432086420446e-01
-1.343385788699495362e-02,4.024491665833906722e-05,0.000000000000000000e+00,1.612917708575801726e+03,0.000000000000000000e+00,6.667072915352985518e+00,3.000033793459861613e+02,-1.173406342702886240e+00
-1.016032650862484267e-02,4.024491665833906722e-05,0.000000000000000000e+00,1.612910852969419693e+03,0.000000000000000000e+00,6.667544522828659836e+00,3.000252288095411473e+02,-8.794397279809624379e+00
-7.610847241981452682e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.612871349959671761e+03,0.000000000000000000e+00,6.670035202805006946e+00,3.001386694145146521e+02,-5.797056625205892288e+01
-5.625271489143922679e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.612671905642130696e+03,0.000000000000000000e+00,6.683113096065161685e+00,3.007306661200611302e+02,-3.569434798637190625e+02
-4.078872927743976140e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.611723282339980642e+03,0.000000000000000000e+00,6.734977606817381890e+00,3.030288397359548185e+02,-1.787900009372359364e+03
-2.874512677432492121e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.608155534129162788e+03,0.000000000000000000e+00,6.953676452092168780e+00,3.127538650052647426e+02,-9.423679543613616261e+03
-1.936537404604233474e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.593255797449111469e+03,0.000000000000000000e+00,7.585228202720468715e+00,3.396913978888156862e+02,-3.401582336676510749e+04
-1.206027067510574095e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.555162132553638457e+03,0.000000000000000000e+00,9.826687985756224819e+00,4.368269298624799717e+02,-1.571779770343012351e+05
-6.370937831697178052e-04,4.024491665833906722e-05,0.000000000000000000e+00,1.405982530467516426e+03,0.000000000000000000e+00,1.407862469691851715e+01,5.876015842052665903e+02,-3.654882821462355205e+05
-1.939993249603281882e-04,4.024491665833906722e-05,0.000000000000000000e+00,1.198274356469861459e+03,0.000000000000000000e+00,2.965344777686781086e+01,1.119277067106903132e+03,-1.490830358492479194e+06
1.658262556641041123e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.011956572270238155e+02,3.700000000000000000e+02,0.000000000000000000e+00
5.090866048887993794e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.707852295921735220e+01,3.700000000000000000e+02,0.000000000000000000e+00
8.763751785592233806e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.356354455656580171e+01,3.700000000000000000e+02,0.000000000000000000e+00
1.269373952386577444e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.236504548432311879e+01,3.700000000000000000e+02,0.000000000000000000e+00
1.689882640381846265e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.620372614887423168e+01,3.700000000000000000e+02,0.000000000000000000e+00
2.139826936536783943e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.249442036951766966e+01,3.700000000000000000e+02,0.000000000000000000e+00
2.621267333422567375e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.022442537386760364e+01,3.700000000000000000e+02,0.000000000000000000e+00
3.136408558090355431e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.863310382445958524e+01,3.700000000000000000e+02,0.000000000000000000e+00
3.687609668484889084e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.738095646148261508e+01,3.700000000000000000e+02,0.000000000000000000e+00
4.277394856607039976e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.632463186232597963e+01,3.700000000000000000e+02,0.000000000000000000e+00
4.908465007897741365e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.539662097460415069e+01,3.700000000000000000e+02,0.000000000000000000e+00
5.583710069778790794e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.456816267962387812e+01,3.700000000000000000e+02,0.000000000000000000e+00
6.306222285991514541e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.381996512193567739e+01,3.700000000000000000e+02,0.000000000000000000e+00
7.079310357339128890e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.313403537877659133e+01,3.700000000000000000e+02,0.000000000000000000e+00
7.906514593681076425e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.250363499588213401e+01,3.700000000000000000e+02,0.000000000000000000e+00
8.791623126566960184e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.191455120080197361e+01,3.700000000000000000e+02,0.000000000000000000e+00
9.738689256754856985e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.136599389934357163e+01,3.700000000000000000e+02,0.000000000000000000e+00
1.075205001605590571e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.084864856937748101e+01,3.700000000000000000e+02,0.000000000000000000e+00
1.183634602850802860e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.036120580451390794e+01,3.700000000000000000e+02,0.000000000000000000e+00
1.299654276183179885e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.989843837947153915e+01,3.700000000000000000e+02,0.000000000000000000e+00
1.423795326648823537e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.945833784442578818e+01,3.700000000000000000e+02,0.000000000000000000e+00
1.556626250647062323e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.903915413301367110e+01,3.700000000000000000e+02,0.000000000000000000e+00
1.698755339325177388e-02,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.863777259462672120e+01,3.700000000000000000e+02,0.000000000000000000e+00
