# x80,y.99,z0,u,v,p,T,dudx
-1.763707217682217859e-02,4.024491665833906722e-05,0.000000000000000000e+00,1.612918770133821909e+03,0.000000000000000000e+00,6.666999999999999815e+00,3.000000000000000000e+02,-1.123112372082973182e-01
-1.343385788699495362e-02,4.024491665833906722e-05,0.000000000000000000e+00,1.612917708600432888e+03,0.000000000000000000e+00,6.667072914266196193e+00,3.000033792939700561e+02,-1.173384741612433446e+00
-1.016032650862484267e-02,4.024491665833906722e-05,0.000000000000000000e+00,1.612910853116291037e+03,0.000000000000000000e+00,6.667544515891507650e+00,3.000252284820850264e+02,-8.794286709181166728e+00
-7.610847241981452682e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.612871350575135466e+03,0.000000000000000000e+00,6.670035171362315829e+00,3.001386679683271268e+02,-5.796998719585957360e+01
-5.625271489143922679e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.612671908192167393e+03,0.000000000000000000e+00,6.683112953546963553e+00,3.007306597459947284e+02,-3.569410663295394670e+02
-4.078872927743976140e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.611723290847912267e+03,0.000000000000000000e+00,6.734977114714184587e+00,3.030288181147007549e+02,-1.787888921478646807e+03
-2.874512677432492121e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.608155564704625476e+03,0.000000000000000000e+00,6.953674606577920692e+00,3.127537853434836848e+02,-9.423644552473309886e+03
-1.936537404604233474e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.593255876479672679e+03,0.000000000000000000e+00,7.585223473753615941e+00,3.396911972812415001e+02,-3.401568365407841338e+04
-1.206027067510574095e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.555162377969707904e+03,0.000000000000000000e+00,9.826672877964712782e+00,4.368263156924659256e+02,-1.571777404991522781e+05
-6.370937831697178052e-04,4.024491665833906722e-05,0.000000000000000000e+00,1.405982915445294793e+03,0.000000000000000000e+00,1.407859956782152011e+01,5.876006679078083152e+02,-3.654872654289021739e+05
-1.939993249603281882e-04,4.024491665833906722e-05,0.000000000000000000e+00,1.198275533758351912e+03,0.000000000000000000e+00,2.965335132225532533e+01,1.119274694481031702e+03,-1.490830612779522547e+06
1.658262556641041123e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.011955190076547098e+02,3.700000000000000000e+02,0.000000000000000000e+00
5.090866048887993794e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.707831040298704295e+01,3.700000000000000000e+02,0.000000000000000000e+00
8.763751785592233806e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.356316663811004020e+01,3.700000000000000000e+02,0.000000000000000000e+00
1.269373952386577444e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.236435031286685415e+01,3.700000000000000000e+02,0.000000000000000000e+00
1.689882640381846265e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.620237688217194716e+01,3.700000000000000000e+02,0.000000000000000000e+00
2.139826936536783943e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.249189312240529404e+01,3.700000000000000000e+02,0.000000000000000000e+00
2.621267333422567375e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.021986112023141757e+01,3.700000000000000000e+02,0.000000000000000000e+00
3.136408558090355431e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.862518769258061724e+01,3.700000000000000000e+02,0.000000000000000000e+00
3.687609668484889084e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.736774082130967045e+01,3.700000000000000000e+02,0.000000000000000000e+00
4.277394856607039976e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.630304349559555277e+01,3.700000000000000000e+02,0.000000000000000000e+00
4.908465007897741365e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.536262229341007668e+01,3.700000000000000000e+02,0.000000000000000000e+00
5.583710069778790794e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.451567083116525581e+01,3.700000000000000000e+02,0.000000000000000000e+00
6.306222285991514541e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.374188681915189392e+01,3.700000000000000000e+02,0.000000000000000000e+00
7.079310357339128890e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.302079412329909047e+01,3.700000000000000000e+02,0.000000000000000000e+00
7.906514593681076425e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.234447149332246596e+01,3.700000000000000000e+02,0.000000000000000000e+00
8.791623126566960184e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.169789820683421411e+01,3.700000000000000000e+02,0.000000000000000000e+00
