# x80,y99,z0,u,v,p,T
-1.763707217682217859e-02,4.024491665833906722e-05,0.000000000000000000e+00,3.225837540267643817e+03,0.000000000000000000e+00,6.666999999999999815e+00,3.000000000000000000e+02
-1.343385788699495362e-02,4.024491665833906722e-05,0.000000000000000000e+00,3.225837371754777905e+03,0.000000000000000000e+00,6.667032489070077617e+00,3.000014709899971308e+02
-1.016032650862484267e-02,4.024491665833906722e-05,0.000000000000000000e+00,3.225834858838441050e+03,0.000000000000000000e+00,6.667455611232830037e+00,3.000207238890598092e+02
-7.610847241981452682e-03,4.024491665833906722e-05,0.000000000000000000e+00,3.225816542700277296e+03,0.000000000000000000e+00,6.670166558478741514e+00,3.001439161890200467e+02
-5.625271489143922679e-03,4.024491665833906722e-05,0.000000000000000000e+00,3.225623278846091580e+03,0.000000000000000000e+00,6.697159609214396347e+00,3.013674118982654022e+02
-4.078872927743976140e-03,4.024491665833906722e-05,0.000000000000000000e+00,3.224651291102032246e+03,0.000000000000000000e+00,6.816029380656119407e+00,3.067461603059384743e+02
-2.874512677432492121e-03,4.024491665833906722e-05,0.000000000000000000e+00,3.216890586853495734e+03,0.000000000000000000e+00,7.769855375006728515e+00,3.496301767290173075e+02
-1.936537404604233474e-03,4.024491665833906722e-05,0.000000000000000000e+00,3.190092883745599465e+03,0.000000000000000000e+00,1.047069287487700784e+01,4.710354128949234109e+02
-1.206027067510574095e-03,4.024491665833906722e-05,0.000000000000000000e+00,3.024105094628826919e+03,0.000000000000000000e+00,2.885487347928794577e+01,1.267810826863956891e+03
-6.370937831697178052e-04,4.024491665833906722e-05,0.000000000000000000e+00,2.739431085754774358e+03,0.000000000000000000e+00,4.975365212244901869e+01,2.132585186395003802e+03
-1.939993249603281882e-04,4.024491665833906722e-05,0.000000000000000000e+00,1.084859149785164391e+03,0.000000000000000000e+00,3.766613041508267656e+02,8.142358553167679929e+03
1.658262556641041123e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.610064983385819914e+02,3.700000000000000000e+02
5.090866048887993794e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.778948841713507250e+02,3.700000000000000000e+02
8.763751785592233806e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.190160643163712280e+02,3.700000000000000000e+02
1.269373952386577444e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.360154553334209027e+02,3.700000000000000000e+02
1.689882640381846265e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.813958184650626038e+02,3.700000000000000000e+02
2.139826936536783943e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.435615430514725119e+02,3.700000000000000000e+02
2.621267333422567375e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.152964727486949812e+02,3.700000000000000000e+02
3.136408558090355431e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.263747208073219497e+01,3.700000000000000000e+02
3.687609668484889084e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.445405290988951208e+01,3.700000000000000000e+02
4.277394856607039976e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.140661964759064517e+01,3.700000000000000000e+02
4.908465007897741365e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.303068799132999089e+01,3.700000000000000000e+02
5.583710069778790794e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.770565358105884712e+01,3.700000000000000000e+02
6.306222285991514541e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.414390765780029113e+01,3.700000000000000000e+02
7.079310357339128890e-03,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.167090144657325368e+01,3.700000000000000000e+02
