# rhoA,rhoUA,rhoVA,rhoEA,LR
-1.840747383466192162e-05,2.509977317507790205e-08,1.575096007219870445e-09,-1.600660896787710857e-11,1.215766545905693738e-05
-1.170897199894231092e-05,1.424873692626406599e-08,1.700818753074576508e-09,-9.623128951190997720e-12,1.215766545905693738e-05
-8.805231545629179851e-06,8.783115566327965842e-09,1.685140542991500712e-09,-6.333928643123664815e-12,1.215766545905693738e-05
-7.100159362572054693e-06,5.597551190113044258e-09,1.538568885999833357e-09,-4.382993948642585250e-12,1.215766545905693738e-05
-6.159158966878450092e-06,4.050990369699041999e-09,1.302246485965693332e-09,-3.401021849922175390e-12,1.215766545905693738e-05
-5.422224082512024906e-06,3.246926350357646582e-09,1.021270813231185249e-09,-2.860368884995319342e-12,1.215766545905693738e-05
-4.679631439004579339e-06,2.713551733218659083e-09,7.350945654924938855e-10,-2.482842979011141822e-12,1.215766545905693738e-05
-3.894587306894982910e-06,2.237356417867125536e-09,4.702839917735160169e-10,-2.146231708632672156e-12,1.215766545905693738e-05
-3.044959318192652229e-06,1.640097767770393539e-09,2.196895878755542578e-10,-1.744050393851976920e-12,1.215766545905693738e-05
-2.183845522328663520e-06,9.758566705043471488e-10,-4.727031639631587691e-11,-1.348048687917190790e-12,1.215766545905693738e-05
-1.951320650890541649e-06,6.154117373693742054e-10,-1.232108087067947031e-09,-1.041510308549612435e-12,1.215766545905693738e-05
-1.958140216115553637e-06,4.452465328423857192e-10,-8.714149824780738292e-10,-7.174532104970234189e-13,1.215766545905693738e-05
-2.140968613258457583e-06,2.999535165838883082e-10,-7.635179342402669392e-10,-5.605425994549874753e-13,1.215766545905693738e-05
-2.356813947311666954e-06,2.408135800078147810e-10,-6.650914075737998545e-10,-4.210135168178042885e-13,1.215766545905693738e-05
-2.569788729694953296e-06,2.218169609377044979e-10,-5.904842579340435924e-10,-3.285495278662268435e-13,1.215766545905693738e-05
-2.724822872747785785e-06,2.230885813862265031e-10,-5.235644404298532233e-10,-2.696009928285294818e-13,1.215766545905693738e-05
-2.834541497620945242e-06,2.262561943007525981e-10,-4.701421279421769525e-10,-2.345035968479658925e-13,1.215766545905693738e-05
-2.918416700243875076e-06,2.272975705490546629e-10,-4.300074128087390106e-10,-2.133652961074774565e-13,1.215766545905693738e-05
-2.993176257513874713e-06,2.261162877667953929e-10,-3.998040187281848626e-10,-1.992198771261034915e-13,1.215766545905693738e-05
-3.065345370003101989e-06,2.241293752975820643e-10,-3.756383206442549135e-10,-1.884244468364778507e-13,1.215766545905693738e-05
-3.134878453363250844e-06,2.219383253549090221e-10,-3.550095442189553727e-10,-1.792358466700073143e-13,1.215766545905693738e-05
-3.202246718702982160e-06,2.197673069775235483e-10,-3.368140029363428314e-10,-1.712536013932846772e-13,1.215766545905693738e-05
-3.265656386885385647e-06,2.176164343163566633e-10,-3.201070601994220555e-10,-1.640335905489063373e-13,1.215766545905693738e-05
-3.325771733026384065e-06,2.154480132371833906e-10,-3.047744054469364912e-10,-1.576022894313465838e-13,1.215766545905693738e-05
-3.381989524505316654e-06,2.133623226778850164e-10,-2.902778910232665830e-10,-1.516431651604960887e-13,1.215766545905693738e-05
-3.434353774978527106e-06,2.114050896728853451e-10,-2.766781317200159601e-10,-1.461880549151757525e-13,1.215766545905693738e-05
-3.482326551657162847e-06,2.097458116080516454e-10,-2.636723578508037173e-10,-1.412113721367230663e-13,1.215766545905693738e-05
-3.524485262008067560e-06,2.083841140572277590e-10,-2.512428326028090439e-10,-1.367094481877653830e-13,1.215766545905693738e-05
-3.560696173866479602e-06,2.073727373559785210e-10,-2.392848172321241038e-10,-1.327314123332708407e-13,1.215766545905693738e-05
-3.589274475439428344e-06,2.068226271289076593e-10,-2.278109967234213701e-10,-1.292297884118248062e-13,1.215766545905693738e-05
-3.609569110446116685e-06,2.068247762362436946e-10,-2.168706335098468780e-10,-1.262947586804973159e-13,1.215766545905693738e-05
-3.618352309939803446e-06,2.074244589387527960e-10,-2.063683552110945998e-10,-1.239419997551070236e-13,1.215766545905693738e-05
-3.614470183614786063e-06,2.086639958305248187e-10,-1.965576769163667031e-10,-1.223735709273157013e-13,1.215766545905693738e-05
-3.594387175806668449e-06,2.106048190984743251e-10,-1.874041712637200986e-10,-1.215161114690622941e-13,1.215766545905693738e-05
-3.555631067363129413e-06,2.133160039724006666e-10,-1.792487350073075476e-10,-1.215973617801932006e-13,1.215766545905693738e-05
-3.493106423852311833e-06,2.168400960426150283e-10,-1.721602135908496736e-10,-1.226953103429938902e-13,1.215766545905693738e-05
-3.402175407813316434e-06,2.211243211939571691e-10,-1.665250249322148588e-10,-1.250333157856506463e-13,1.215766545905693738e-05
-3.276884086638917373e-06,2.260983435556412636e-10,-1.625495066508341161e-10,-1.286828006006275999e-13,1.215766545905693738e-05
-3.110884322665512756e-06,2.316848664219269938e-10,-1.606839303217274159e-10,-1.338338836472638161e-13,1.215766545905693738e-05
-2.895920656670960266e-06,2.376930959667409925e-10,-1.612020732480369544e-10,-1.406149897758914744e-13,1.215766545905693738e-05
-2.623567402177734491e-06,2.438793777278991750e-10,-1.645619834846839847e-10,-1.492493237377909813e-13,1.215766545905693738e-05
-2.284070872524813651e-06,2.499129055029800796e-10,-1.710413490178923640e-10,-1.597745248823554407e-13,1.215766545905693738e-05
-1.867548644543219350e-06,2.554639317972290651e-10,-1.809788448695238425e-10,-1.723019526464835125e-13,1.215766545905693738e-05
-1.362138347606871504e-06,2.600324220638977846e-10,-1.944733522231267465e-10,-1.868015858534313366e-13,1.215766545905693738e-05
-7.577333599762109294e-07,2.632047616781056912e-10,-2.116326197093210916e-10,-2.033626436927409821e-13,1.215766545905693738e-05
-4.147779543933966458e-08,2.644615578009580284e-10,-2.322554585659286794e-10,-2.217000835129365163e-13,1.215766545905693738e-05
7.963424314888528628e-07,2.633631686359014829e-10,-2.560410685474959046e-10,-2.417193304491785212e-13,1.215766545905693738e-05
1.768226620115439652e-06,2.593692895078079374e-10,-2.823445666374808950e-10,-2.630468601959335708e-13,1.215766545905693738e-05
2.880174091331183217e-06,2.521951423342888815e-10,-3.105220245507633308e-10,-2.855127575721544424e-13,1.215766545905693738e-05
4.143105838514794845e-06,2.415444337331213302e-10,-3.395320133245127850e-10,-3.084228148623736774e-13,1.215766545905693738e-05
5.560610544659056737e-06,2.270320805478227742e-10,-3.683505222942176529e-10,-3.314030857730299943e-13,1.215766545905693738e-05
7.133555121473415949e-06,2.086696563750703632e-10,-3.957987104852106647e-10,-3.539639614515433266e-13,1.215766545905693738e-05
8.862091663011451215e-06,1.864264333694023941e-10,-4.207567982319574989e-10,-3.755170449703396074e-13,1.215766545905693738e-05
1.074078998767981587e-05,1.603447507106493992e-10,-4.419469082279173215e-10,-3.954890240707218099e-13,1.215766545905693738e-05
1.275961013100557284e-05,1.304574792152690303e-10,-4.583684133204356275e-10,-4.132824371080923124e-13,1.215766545905693738e-05
1.490173308011639982e-05,9.700335744118264131e-11,-4.689865511437763272e-10,-4.283801060453618566e-13,1.215766545905693738e-05
1.714747230584890781e-05,6.036648515811717749e-11,-4.730832634067067801e-10,-4.402882016336684377e-13,1.215766545905693738e-05
1.946911872640157327e-05,2.065821692964124927e-11,-4.700611555835188510e-10,-4.483753042182448103e-13,1.215766545905693738e-05
2.183155052231607648e-05,-2.164639564487714389e-11,-4.592786158046919737e-10,-4.522270547060543607e-13,1.215766545905693738e-05
2.419493046241176894e-05,-6.605363109624182097e-11,-4.408512619555383180e-10,-4.514309216747313171e-13,1.215766545905693738e-05
2.651015581130813936e-05,-1.122504688381619123e-10,-4.146269531388470602e-10,-4.455230323668919756e-13,1.215766545905693738e-05
2.871993934914639736e-05,-1.595618051551917146e-10,-3.806209200158088054e-10,-4.341460815319821879e-13,1.215766545905693738e-05
3.075969446164247676e-05,-2.072831020693596125e-10,-3.397955808226738353e-10,-4.172128576971225219e-13,1.215766545905693738e-05
3.255761516972848483e-05,-2.548361703609338704e-10,-2.924089405398985727e-10,-3.943760739672226848e-13,1.215766545905693738e-05
3.403224363505711800e-05,-3.012779785710896581e-10,-2.391293463932410973e-10,-3.654941472100425918e-13,1.215766545905693738e-05
3.509472096583486379e-05,-3.455234280425539973e-10,-1.816354228554987396e-10,-3.309400583385888229e-13,1.215766545905693738e-05
3.565161620410403349e-05,-3.865238774347340854e-10,-1.208186786652498250e-10,-2.907501909695442087e-13,1.215766545905693738e-05
3.560418975779996119e-05,-4.227916442890900472e-10,-5.788004690175687605e-11,-2.452322767052504596e-13,1.215766545905693738e-05
3.485416575028893015e-05,-4.525199324243102483e-10,4.803798839706550251e-12,-1.956501396326870304e-13,1.215766545905693738e-05
3.330892756730336173e-05,-4.737169699775693844e-10,6.545958638026404544e-11,-1.428713301928571058e-13,1.215766545905693738e-05
3.089424331337088826e-05,-4.837832090839856572e-10,1.222252006288052750e-10,-8.831038690595767418e-14,1.215766545905693738e-05
2.757418566849601687e-05,-4.797036447616159687e-10,1.720632622231276090e-10,-3.485130446751322457e-14,1.215766545905693738e-05
2.336628011833402182e-05,-4.579543372940079284e-10,2.118044780862332637e-10,1.467135058347316716e-14,1.215766545905693738e-05
1.839655847245163828e-05,-4.147954481574216867e-10,2.384043950282878283e-10,5.642608069927867298e-14,1.215766545905693738e-05
1.295246135423251422e-05,-3.473287939605448736e-10,2.481755390517656925e-10,8.547083596443041502e-14,1.215766545905693738e-05
7.543895748546913215e-06,-2.549728474233031077e-10,2.362749531159336134e-10,9.604390711440651277e-14,1.215766545905693738e-05
2.978342250750960018e-06,-1.441577635038987101e-10,1.988427212684379922e-10,8.405431335285168198e-14,1.215766545905693738e-05
3.152124509741366682e-07,-3.870284595618679653e-11,1.346820257903244880e-10,5.085509382389338858e-14,1.215766545905693738e-05
-1.538511438808264414e-06,2.983765598375510924e-09,1.560950630525287178e-09,-1.796665841402725652e-12,1.215766545905693738e-05
-1.302907337407402400e-06,2.053890087291028591e-09,2.107504467594967685e-09,-1.258086194811436474e-12,1.215766545905693738e-05
-1.285262480924447582e-06,1.509254069107701940e-09,2.412423186119612793e-09,-9.402537071241809464e-13,1.215766545905693738e-05
-1.261809241850412073e-06,1.126284233985819812e-09,2.455387692638813258e-09,-7.177106799086331021e-13,1.215766545905693738e-05
-1.219936698929999497e-06,8.884723823884970339e-10,2.284931138942522378e-09,-5.814451240473567522e-13,1.215766545905693738e-05
-1.138861654370775795e-06,7.361022959760947941e-10,1.971874740959901904e-09,-4.969562250781790457e-13,1.215766545905693738e-05
-1.026446239030786417e-06,6.336832160379325623e-10,1.589679267484866451e-09,-4.432357594584163112e-13,1.215766545905693738e-05
-9.029612134729068456e-07,5.644912893426110703e-10,1.182709349110714194e-09,-4.111055026152920349e-13,1.215766545905693738e-05
-7.681597441056163153e-07,4.946300401913818309e-10,8.216858208930263338e-10,-3.766710527187903032e-13,1.215766545905693738e-05
-6.582587531369256246e-07,4.378802027447171594e-10,4.677059878164784689e-10,-3.450596343594510208e-13,1.215766545905693738e-05
-5.197542610126751900e-07,3.951560262091425129e-10,3.310753201329724841e-10,-3.636689981422548155e-13,1.215766545905693738e-05
-5.824129589272343895e-07,4.160965136547441508e-10,2.964683649207054499e-10,-2.632928412163149944e-13,1.215766545905693738e-05
-5.827751636679266241e-07,4.453637474725806646e-10,2.812996759555174781e-10,-2.158149598582412732e-13,1.215766545905693738e-05
-5.394365000016565063e-07,4.642818105510164093e-10,3.016318054614885596e-10,-1.805422743467111464e-13,1.215766545905693738e-05
-4.612038768119303719e-07,4.721373384126492193e-10,3.302696418981984949e-10,-1.646505283691519575e-13,1.215766545905693738e-05
-3.820102464193481284e-07,4.687016253085464807e-10,3.541983561954081168e-10,-1.600507842050052288e-13,1.215766545905693738e-05
-3.196493421656339864e-07,4.601956348529343360e-10,3.675447732563397956e-10,-1.610236562959992440e-13,1.215766545905693738e-05
-2.783526452115414630e-07,4.507537465994304397e-10,3.714262867768823625e-10,-1.630094957184927458e-13,1.215766545905693738e-05
-2.519064524051432481e-07,4.424668672105867478e-10,3.702166844111838448e-10,-1.644893939114227943e-13,1.215766545905693738e-05
-2.333076575052732719e-07,4.352827261255272477e-10,3.668921540177809212e-10,-1.652480179765740305e-13,1.215766545905693738e-05
-2.187970937220641053e-07,4.286612848481182994e-10,3.625647850236914374e-10,-1.654193419869618541e-13,1.215766545905693738e-05
-2.066495526784654270e-07,4.225677761735444344e-10,3.577684286631164141e-10,-1.655991106551583647e-13,1.215766545905693738e-05
-1.957546044066593411e-07,4.166146038736604833e-10,3.524924540843987085e-10,-1.652935833092234662e-13,1.215766545905693738e-05
-1.861872295176948990e-07,4.109194299064492930e-10,3.469755414135632724e-10,-1.650630806246422097e-13,1.215766545905693738e-05
-1.769701647885342994e-07,4.053949504476173208e-10,3.411306269322718173e-10,-1.648052972455989447e-13,1.215766545905693738e-05
-1.684877140700359543e-07,4.000513821861453781e-10,3.350217958822310648e-10,-1.647443652606011247e-13,1.215766545905693738e-05
-1.602002129225354458e-07,3.949518532525572861e-10,3.286477550057336802e-10,-1.649997068159950129e-13,1.215766545905693738e-05
-1.523851015050666552e-07,3.900697277817065984e-10,3.219498981176307083e-10,-1.654958876542510094e-13,1.215766545905693738e-05
-1.448948451600215653e-07,3.853737234289987101e-10,3.150373948352055698e-10,-1.664054777803718733e-13,1.215766545905693738e-05
-1.377300954984786549e-07,3.807916423315080258e-10,3.077081924781381624e-10,-1.677810788794099831e-13,1.215766545905693738e-05
-1.311395241682523372e-07,3.763995607355458206e-10,3.001405694310487503e-10,-1.699369598996636813e-13,1.215766545905693738e-05
-1.250676083795303697e-07,3.720216007343052561e-10,2.920929697120869325e-10,-1.725532195005458397e-13,1.215766545905693738e-05
-1.201759848633937312e-07,3.676827760126243435e-10,2.838044281824894738e-10,-1.759918022612875759e-13,1.215766545905693738e-05
-1.163400109991525651e-07,3.632499886920949152e-10,2.750408007674312994e-10,-1.801925050240826080e-13,1.215766545905693738e-05
-1.143806280207342391e-07,3.586872258828536661e-10,2.659885319704919695e-10,-1.853912489432741879e-13,1.215766545905693738e-05
-1.145091149657674580e-07,3.538700998659580390e-10,2.564751230492817002e-10,-1.914676315203892437e-13,1.215766545905693738e-05
-1.176664221080553166e-07,3.487235210980255254e-10,2.466283757179781454e-10,-1.985192701967034274e-13,1.215766545905693738e-05
-1.242605975916647401e-07,3.430907834114559679e-10,2.363455808618640609e-10,-2.065316796420836391e-13,1.215766545905693738e-05
-1.352441755335122676e-07,3.368923317052467400e-10,2.256905671183117423e-10,-2.156380842976144949e-13,1.215766545905693738e-05
-1.512355452183812493e-07,3.300136601577406537e-10,2.145578846552442205e-10,-2.257326619945988411e-13,1.215766545905693738e-05
-1.731683248976650993e-07,3.224019283128776749e-10,2.029460729314964518e-10,-2.368208589591572986e-13,1.215766545905693738e-05
-2.015313145828317845e-07,3.139326286625983087e-10,1.906805774167765781e-10,-2.488697111838342890e-13,1.215766545905693738e-05
-2.368546773329991765e-07,3.045850865100932278e-10,1.776077093513316884e-10,-2.620617966155394057e-13,1.215766545905693738e-05
-2.792094564484686965e-07,2.942440434191445116e-10,1.633472639669066305e-10,-2.762278092962105650e-13,1.215766545905693738e-05
-3.285462342454372837e-07,2.828658192691654226e-10,1.476038794615658605e-10,-2.915250979234228686e-13,1.215766545905693738e-05
-3.841080962148560398e-07,2.702534993335158183e-10,1.297077096872353526e-10,-3.079531661118939629e-13,1.215766545905693738e-05
-4.449170980143346539e-07,2.563151319809982729e-10,1.091312406907759129e-10,-3.258988302516127275e-13,1.215766545905693738e-05
-5.092226322042183416e-07,2.406682740591244208e-10,8.490241206808715741e-11,-3.450134447150022916e-13,1.215766545905693738e-05
-5.753218405301480189e-07,2.230484134361173324e-10,5.649893184871354767e-11,-3.656836417167520840e-13,1.215766545905693738e-05
-6.405597326421287890e-07,2.029725604347347771e-10,2.276777814270121787e-11,-3.879242513428005543e-13,1.215766545905693738e-05
-7.025947805014006984e-07,1.800117955379212032e-10,-1.688121498103223902e-11,-4.117372395652598533e-13,1.215766545905693738e-05
-7.585198866187345413e-07,1.537254645283770619e-10,-6.317494883797462159e-11,-4.369912796047520206e-13,1.215766545905693738e-05
-8.059534259932718328e-07,1.235599522598413499e-10,-1.165480644583771422e-10,-4.633723717306490360e-13,1.215766545905693738e-05
-8.420827104264907412e-07,8.913164665974430299e-11,-1.774012949601906217e-10,-4.907926907929326188e-13,1.215766545905693738e-05
-8.649687687593654342e-07,5.007402110245475475e-11,-2.455568812057900049e-10,-5.184036566374283795e-13,1.215766545905693738e-05
-8.725176262391463040e-07,6.256915971070701915e-12,-3.207584792207613676e-10,-5.458440703868664871e-13,1.215766545905693738e-05
-8.635968128913216069e-07,-4.240277943171756734e-11,-4.022863545552275796e-10,-5.722651873331183236e-13,1.215766545905693738e-05
-8.375565915234052813e-07,-9.554516121903087394e-11,-4.889058278307486785e-10,-5.967530825021011509e-13,1.215766545905693738e-05
-7.933363547292108144e-07,-1.528797552796849262e-10,-5.796229394908757888e-10,-6.184546502255358766e-13,1.215766545905693738e-05
-7.322227202000074496e-07,-2.138951402262417736e-10,-6.722807815048593301e-10,-6.361004475688390788e-13,1.215766545905693738e-05
