# x80,y.99,z0,u,v,p,T,dudx
-1.763707217682217859e-02,4.024491665833906722e-05,0.000000000000000000e+00,1.612918770133821909e+03,0.000000000000000000e+00,6.666999999999999815e+00,3.000000000000000000e+02,-1.123138582679171771e-01
-1.343385788699495362e-02,4.024491665833906722e-05,0.000000000000000000e+00,1.612917708575659390e+03,0.000000000000000000e+00,6.667072915355941376e+00,3.000033793460956986e+02,-1.173406366672248513e+00
-1.016032650862484267e-02,4.024491665833906722e-05,0.000000000000000000e+00,1.612910852969231200e+03,0.000000000000000000e+00,6.667544522821857278e+00,3.000252288091667765e+02,-8.794397176612624989e+00
-7.610847241981452682e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.612871349960045336e+03,0.000000000000000000e+00,6.670035202741285474e+00,3.001386694115435603e+02,-5.797056508467097302e+01
-5.625271489143922679e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.612671905646702726e+03,0.000000000000000000e+00,6.683113095700663031e+00,3.007306661037964659e+02,-3.569434739573328557e+02
-4.078872927743976140e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.611723282359550012e+03,0.000000000000000000e+00,6.734977605455906513e+00,3.030288396762941829e+02,-1.787899979131527061e+03
-2.874512677432492121e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.608155534209893176e+03,0.000000000000000000e+00,6.953676446697103053e+00,3.127538647723479812e+02,-9.423679444015217086e+03
-1.936537404604233474e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.593255797669050480e+03,0.000000000000000000e+00,7.585228188561473850e+00,3.396913972873388730e+02,-3.401582294932898367e+04
-1.206027067510574095e-03,4.024491665833906722e-05,0.000000000000000000e+00,1.555162133275042606e+03,0.000000000000000000e+00,9.826687939139144845e+00,4.368269279592615817e+02,-1.571779763115634851e+05
-6.370937831697178052e-04,4.024491665833906722e-05,0.000000000000000000e+00,1.405982531620750478e+03,0.000000000000000000e+00,1.407862461869995485e+01,5.876015813321308769e+02,-3.654882789177451050e+05
-1.939993249603281882e-04,4.024491665833906722e-05,0.000000000000000000e+00,1.198274360147831885e+03,0.000000000000000000e+00,2.965344747048249374e+01,1.119277059414914220e+03,-1.490830359166079899e+06
1.658262556641041123e-04,4.024491665833906722e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.011956567667405977e+02,3.700000000000000000e+02,0.000000000000000000e+00
